"Sl No","Number of Vote","Date of Votes","Title in English","Title in French","Result","Def. Result","keyword1","keyword2","keyword3","type","Institutions","Theme codes","Turnout","Valid Ballot Sheets","Yes [%]","No [%]","Number of Yes-Votes in National Council","Number of No-Votes in National Council","Number of Abstentions in National Council","Number of Yes-Votes in States Council","Number of No-Votes in States Council","Number of Abstentions in States Council","Recommendation of Government","Total Electorate","Number Of Voters","Yes Votes","No Votes","Number of States accepting","Number of States rejecting","Linked Vote Status","Linked Vote","Without Response","Tie-Break Question: Number of People Supporting","Tie-Break Question: Number of State Supporting","Tie-Break Question: Without Response"
1,609,2017-02-12,"Federal parliamentary decree of 30 September 2016 regarding the facilitated naturalization of people belonging to the third generation of immigrants","Arrêté fédéral du 30.09.2016 concernant la naturalisation facilitée des étrangers de la troisième génération","yes",NA,"State organisation","Legal system","Citizenship","mandatory Referendum","Constitutional Referendum (Partialrevision)","State organisation | Legal system | Citizenship","46.49",2482230,60.41,"39.59","122","75","0","25","19","0","Acceptance",5345436,2485134,1499615,982615,"18","5","none",NA,NA,NA,NA,NA
2,610,2017-02-12,"Federal parliamentary decree of 30 September 2016 regarding the establishment of a fund for national roads and agglomeration traffic","Arrêté fédéral du 30.09.2016 sur la création d'un fonds pour les routes nationales et pour le trafic d'agglomération","yes","no","Transport and infrastructure","Road transport","Road construction","mandatory Referendum","Constitutional Referendum (Partialrevision)","Transport and infrastructure | Road transport | Road construction","46.26",2427522,61.95,"38.05","146","48","4","41","1","2","Acceptance",5345436,2473002,1503735,923787,"23","0","none",NA,NA,NA,NA,NA
3,611,2017-02-12,"Federal law of 17 June 2016 regarding fiscal measures to improve Switzerland's competitiveness as a business location (Reform of the corporation taxes III) ","Loi fédérale du 17.06.2016 sur l'amélioration des conditions fiscales en vue de renforcer la compétitivité du site entrepreneurial suisse (Réforme de l'imposition des entreprises III)","no",NA,"Public finance","Taxation","Tax system","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Public finance | Taxation | Tax system","46.25",2417252,40.93,"59.07","139","55","2","29","10","4","Acceptance",5345436,2472368,989306,1427946,NA,NA,"none",NA,NA,NA,NA,NA
4,605,2016-09-25,"Citizens' initiative of 06 September 2012 ""For a sustainable and resource efficient economy (green economy)"" ","Initiative populaire du 06.09.2012 «Pour économie durable et fondée sur une gestion efficiente des ressources (économie verte)» ","no",NA,"Environment and living space","Environment","Environmental policy","initiative","Initiative (Formulated Draft)","Environment and living space | Environment | Environmental policy","43",2250043,36.43,"63.57","62","128","2","13","31","0","Rejection",5329183,2291470,819770,1430273,"1","22","none",NA,NA,NA,NA,NA
5,606,2016-09-25,"Citizens' initative of 17 December 2013 ""AHVplus: for a strong AHV""","Initiative populaire du 17.12.2013 «AVSplus: pour une AVS forte»","no",NA,"Social Policy","Social security","Pension insurance","initiative","Initiative (Formulated Draft)","Social Policy | Social security | Pension insurance","43.13",2269407,40.6,"59.4","53","139","1","9","33","1","Rejection",5329183,2298492,921375,1348032,"5","18","none",NA,NA,NA,NA,NA
6,607,2016-09-25,"Federal law of 25 September 2015 on intelligence agencies (Intelligence Agencies Act  NDG)","Loi fédérale du 25.09.2015 sur le renseignement (LRens)","yes","no","Security policy","State security","Fundamental rights","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Security policy | State security | Fundamental rights","42.94",2227133,65.51,"34.49","145","41","8","35","5","3","Acceptance",5329183,2288549,1459068,768065,NA,NA,"none",NA,NA,NA,NA,NA
7,608,2016-09-25,"Citizens' initiative of 16 November 2012 ""For an orderly nuclear phase-out"" ","Initiative populaire du 16.11.2012 «Pour la sortie programmée de l'énergie nucléaire (Initiative «Sortir du nucléaire»)» ","no",NA,"Energy","Nuclear energy","Energy policy","initiative","Initiative (Formulated Draft)","Energy | Nuclear energy | Energy policy","45.04",2399984,45.77,"54.23","59","134","2","13","32","0","Rejection",5336515,2403389,1098464,1301520,"5","18","none",NA,NA,NA,NA,NA
8,600,2016-06-05,"Citizens' initiative of 30 May 2013 ""pro public service"" ","Initiative populaire du 30.05.2013 ""En faveur du service public"" ","no",NA,"Transport and infrastructure","Post","Telecommunications","initiative","Initiative (Formulated Draft)","Transport and infrastructure | Post | Telecommunications","46.77",2422010,32.38,"67.62","0","196","0","0","43","0","Rejection",5313442,2485007,784303,1637707,"0","23","none",NA,NA,NA,NA,NA
9,601,2016-06-05,"Citizens' initiative of 04 October 2013 ""For an unconditional basic income""","Initiative populaire du 04.10.2013 ""Pour un revenu de base inconditionnel""","no",NA,"Social Policy","Social security","Welfare","initiative","Initiative (Formulated Draft)","Social Policy | Social security | Welfare","46.95",2466188,23.06,"76.94","19","157","16","1","40","3","Rejection",5313422,2494848,568660,1897528,"0","23","none",NA,NA,NA,NA,NA
10,602,2016-06-05,"Citizens' initiative of 10 March 2014 ""For a fair financing of transports""","Initiative populaire du 10.03.2014 ""Pour un financement équitable des transports""","no",NA,"Transport and infrastructure","Road transport","Indirect taxation","initiative","Initiative (Formulated Draft)","Transport and infrastructure | Road transport | Indirect taxation","46.78",2429635,29.22,"70.78","66","123","5","4","32","9","Rejection",5313442,2485384,709974,1719661,"0","23","none",NA,NA,NA,NA,NA
